Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,356955803,4579.56193129258,23316891,299.14388695257736,3849131,5610291,71.97718841139944,55955,0.7178742738228475,9222,
United States of America,Americas,71326407,21548.591,4814770,1454.602,1172810,862863,260.682,15475,4.675,2750
India,South-East Asia,40085116,2904.709,2183875,158.251,285914,491127,35.589,3925,0.284,665
Brazil,Americas,24124595,11349.577,1049804,493.887,80340,623356,293.262,2190,1.03,259
France,Europe,16830895,25878.015,2484202,3819.536,500563,126729,194.85,1783,2.741,465
The United Kingdom,Europe,16047720,23639.217,648711,955.589,94326,154356,227.375,1842,2.713,439
Russian Federation,Europe,11315801,7754.029,416390,285.327,74692,328105,224.83,4729,3.24,657
Turkey,Europe,11089602,13148.832,498736,591.346,76341,86299,102.324,1222,1.449,174
Italy,Europe,10212621,17123.35,1194196,2002.291,211277,144343,242.018,2518,4.222,468
Spain,Europe,9395768,19850.516,659429,1393.181,61435,92376,195.164,614,1.297,35
Germany,Europe,9035795,10864.678,848945,1020.775,164000,117126,140.833,1045,1.257,166
Argentina,Americas,7940657,17569.468,743334,1644.698,78121,119444,264.281,1213,2.684,276
Iran (Islamic Republic of),Eastern Mediterranean,6267559,7462.006,39710,47.278,9378,132274,157.482,161,0.192,23
Colombia,Americas,5761398,11322.859,193330,379.951,21219,132477,260.357,1347,2.647,237
Mexico,Americas,4685767,3634.272,130371,101.116,16,303301,235.24,800,0.62,1
Poland,Europe,4637776,12218.134,264058,695.656,53416,104373,274.969,1310,3.451,276
Indonesia,South-East Asia,4301193,1572.512,25665,9.383,7010,144254,52.739,62,0.023,7
Netherlands,Europe,4008459,23027.083,366120,2103.221,54225,21227,121.941,61,0.35,9
Ukraine,Europe,3913809,8949.171,132906,303.898,24321,99584,227.705,872,1.994,141
South Africa,Africa,3585888,6046.143,21310,35.931,3197,94397,159.162,846,1.426,132
Philippines,Western Pacific,3459646,3157.156,188979,172.456,17677,53598,48.912,636,0.58,79
Peru,Americas,2976260,9026.669,344434,1044.63,30109,204404,619.935,854,2.59,81
Canada,Americas,2947179,7808.72,145728,386.115,25794,32786,86.868,1107,2.933,189
Belgium,Europe,2878212,24979.188,262778,2280.576,33,28863,250.494,137,1.189,4
Malaysia,Western Pacific,2840225,8775.335,26291,81.23,4066,31918,98.616,100,0.309,16
Czechia,Europe,2833961,26500.628,181106,1693.539,39716,37092,346.851,130,1.216,12
Israel,Europe,2547195,29428.49,525649,6072.977,76017,8502,98.226,130,1.502,11
Thailand,South-East Asia,2398944,3436.884,54011,77.38,7587,22076,31.628,108,0.155,19
Portugal,Europe,2312240,22457.852,361620,3512.269,57657,19661,190.959,281,2.729,48
Japan,Western Pacific,2277762,1800.937,344710,272.549,60933,18559,14.674,115,0.091,36
Viet Nam,Western Pacific,2171527,2230.901,109399,112.39,15743,37010,38.022,1038,1.066,126
Iraq,Eastern Mediterranean,2167686,5389.238,42420,105.463,7693,24309,60.436,47,0.117,9
Romania,Europe,2048896,10600.203,120590,623.886,19685,59632,308.513,305,1.578,44
Chile,Americas,2001346,10469.371,108231,566.174,17156,39543,206.856,116,0.607,8
Switzerland,Europe,1994916,23050.307,174954,2021.51,185,12214,141.127,58,0.67,1
Sweden,Europe,1922990,18619.932,260540,2522.757,28367,15693,151.952,27,0.261,2
Greece,Europe,1830263,17075.635,126867,1183.619,17879,22852,213.2,655,6.111,104
Bangladesh,South-East Asia,1731524,1051.388,89230,54.181,15527,28273,17.167,97,0.059,17
Australia,Western Pacific,1706154,6690.83,248384,974.059,24097,3225,12.647,470,1.843,71
Austria,Europe,1659510,18643.951,181755,2041.947,24050,13545,152.173,50,0.562,14
Serbia,Europe,1579847,22808.06,112649,1626.3,19901,13340,192.588,216,3.118,34
Denmark,Europe,1484771,25499.424,291292,5002.642,46590,3635,62.427,116,1.992,14
Hungary,Europe,1471276,15059.85,101302,1036.918,20174,41087,420.563,401,4.105,69
Pakistan,Eastern Mediterranean,1381152,625.26,47631,21.563,6352,29122,13.184,93,0.042,17
Kazakhstan,Europe,1264299,6733.337,94367,502.575,12034,18415,98.074,77,0.41,12
Jordan,Eastern Mediterranean,1164339,11411.582,53158,520.997,11813,13102,128.412,88,0.862,14
Ireland,Europe,1153666,23238.593,38081,767.075,4006,6087,122.612,52,1.047,0
Morocco,Eastern Mediterranean,1107525,3000.564,47939,129.879,6362,15201,41.183,189,0.512,34
Georgia,Europe,1092684,27391.228,77092,1932.53,17530,14813,371.33,258,6.468,39
Cuba,Americas,1028183,9077.583,22534,198.947,2764,8373,73.923,28,0.247,6
Slovakia,Europe,943378,17284.719,52591,963.581,13837,17725,324.76,266,4.874,27
Nepal,South-East Asia,933451,3203.683,55734,191.284,5571,11672,40.059,44,0.151,5
Bulgaria,Europe,903676,12999.76,61891,890.328,12399,32869,472.834,531,7.639,73
Croatia,Europe,887362,21866.09,60982,1502.699,8471,13502,332.712,290,7.146,51
Lebanon,Eastern Mediterranean,874144,12807.136,40273,590.042,7250,9513,139.376,101,1.48,14
Tunisia,Eastern Mediterranean,866445,7331.186,62092,525.374,9706,26051,220.423,205,1.735,52
United Arab Emirates,Eastern Mediterranean,830832,8400.387,19803,200.224,2504,2224,22.486,26,0.263,5
Bolivia (Plurinational State of),Americas,820583,7029.74,57191,489.942,6974,20671,177.084,380,3.255,41
Republic of Korea,Western Pacific,762983,1488.19,57083,111.34,13012,6620,12.912,168,0.328,32
Belarus,Europe,730207,7727.613,12109,128.147,1403,5959,63.063,109,1.154,10
Ecuador,Americas,681382,3862.041,51875,294.025,0,34329,194.575,97,0.55,0
Guatemala,Americas,670489,3742.494,16934,94.521,659,16272,90.826,93,0.519,4
Saudi Arabia,Eastern Mediterranean,661733,1900.774,34925,100.319,4541,8924,25.633,14,0.04,2
Costa Rica,Americas,655825,12874.162,35238,691.739,2696,7483,146.895,62,1.217,13
Panama,Americas,650138,15067.743,69814,1618.025,5455,7609,176.348,81,1.877,11
Norway,Europe,641131,11944.508,97104,1809.083,3211,1416,26.381,4,0.075,2
Azerbaijan,Europe,636956,6282.128,9941,98.045,2468,8632,85.135,91,0.898,13
Lithuania,Europe,628094,22479.376,46074,1648.981,10301,7798,279.089,98,3.507,16
Slovenia,Europe,624851,29813.571,77780,3711.124,12820,6258,298.589,20,0.954,1
Sri Lanka,South-East Asia,604581,2823.397,6045,28.23,927,15346,71.666,103,0.481,16
Uruguay,Americas,599040,17244.864,78218,2251.701,10045,6325,182.081,77,2.217,17
Paraguay,Americas,542388,7604.418,38008,532.882,5411,17009,238.471,165,2.313,39
Dominican Republic,Americas,542056,4996.87,31598,291.282,0,4289,39.538,20,0.184,0
Myanmar,South-East Asia,534503,982.365,899,1.652,120,19310,35.49,4,0.007,0
Kuwait,Eastern Mediterranean,508372,11904.076,33069,774.346,5742,2488,58.259,9,0.211,1
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,492694,9657.989,14610,286.391,4095,5072,99.423,41,0.804,11
Venezuela (Bolivarian Republic of),Americas,471389,1657.723,14748,51.864,1823,5410,19.025,27,0.095,5
Finland,Europe,464394,8404.877,43381,785.135,3393,1894,34.279,3,0.054,0
Ethiopia,Africa,463047,402.777,3561,3.098,533,7280,6.332,96,0.084,15
Puerto Rico,Americas,444606,15541.029,25690,897.984,297,3731,130.416,189,6.606,27
